0.001,1,1,1000
-0.0005,-0.5,0.5,500
-0.00125,-1.25,1.25,1250
-0.00325,-3.25,3.25,3250
-0.0035,-3.5,3.5,3500
-0.0025,-2.5,2.5,2500
-0.002,-2,2,2000
-0.00125,-1.25,1.25,1250
0,0,0,0
0.00025,0.25,0.25,250
0.0005,0.5,0.5,500
0.001,1,1,1000
0.00125,1.25,1.25,1250
0.002,2,2,2000
0.003,3,3,3000
0.001,1,1,1000
0.00125,1.25,1.25,1250
-0.0005,-0.5,0.5,500
-0.00225,-2.25,2.25,2250
-0.0045,-4.5,4.5,4500
-0.004,-4,4,4000
-0.00175,-1.75,1.75,1750
-0.00175,-1.75,1.75,1750
-0.00225,-2.25,2.25,2250
-0.00025,-0.25,0.25,250
0,0,0,0
0.001,1,1,1000
0.00025,0.25,0.25,250
0,0,0,0
0.0005,0.5,0.5,500
0.00225,2.25,2.25,2250
0.0015,1.5,1.5,1500
-0.001,-1,1,1000
-0.0005,-0.5,0.5,500
0.0005,0.5,0.5,500
-0.0025,-2.5,2.5,2500
-0.002,-2,2,2000
-0.0045,-4.5,4.5,4500
-0.00225,-2.25,2.25,2250
-0.0025,-2.5,2.5,2500
0.0005,0.5,0.5,500
-0.00125,-1.25,1.25,1250
-0.002,-2,2,2000
0.001,1,1,1000
0.00375,3.75,3.75,3750
0.00025,0.25,0.25,250
0.0015,1.5,1.5,1500
0.0015,1.5,1.5,1500
0.002,2,2,2000
-0.00075,-0.75,0.75,750
0.001,1,1,1000
-0.00175,-1.75,1.75,1750
-0.00375,-3.75,3.75,3750
-0.00525,-5.25,5.25,5250
-0.00275,-2.75,2.75,2750
-0.0035,-3.5,3.5,3500
-0.001,-1,1,1000
-0.00025,-0.25,0.25,250
-0.00025,-0.25,0.25,250
-0.00075,-0.75,0.75,750
-0.001,-1,1,1000
0.00075,0.75,0.75,750
0.00275,2.75,2.75,2750
-0.00025,-0.25,0.25,250
-0.0005,-0.5,0.5,500
0.00025,0.25,0.25,250
0.00025,0.25,0.25,250
-0.00075,-0.75,0.75,750
-0.00125,-1.25,1.25,1250
-0.0025,-2.5,2.5,2500
-0.00425,-4.25,4.25,4250
-0.00475,-4.75,4.75,4750
-0.00275,-2.75,2.75,2750
0.00125,1.25,1.25,1250
-0.00225,-2.25,2.25,2250
-0.00025,-0.25,0.25,250
-0.00025,-0.25,0.25,250
0.0005,0.5,0.5,500
0.001,1,1,1000
-0.00025,-0.25,0.25,250
0.004,4,4,4000
0.00025,0.25,0.25,250
0.0005,0.5,0.5,500
0.00025,0.25,0.25,250
0.00025,0.25,0.25,250
-0.00475,-4.75,4.75,4750
-0.00375,-3.75,3.75,3750
-0.00425,-4.25,4.25,4250
-0.003,-3,3,3000
-0.001,-1,1,1000
-0.0005,-0.5,0.5,500
-0.0025,-2.5,2.5,2500
0.00025,0.25,0.25,250
0.001,1,1,1000
0.00025,0.25,0.25,250
0.00025,0.25,0.25,250
0.003,3,3,3000
0.002,2,2,2000
0,0,0,0
-0.00025,-0.25,0.25,250
-0.00125,-1.25,1.25,1250
0.00125,1.25,1.25,1250
-0.00175,-1.75,1.75,1750
-0.0005,-0.5,0.5,500
-0.00325,-3.25,3.25,3250
-0.00475,-4.75,4.75,4750
-0.00475,-4.75,4.75,4750
-0.0015,-1.5,1.5,1500
0.00075,0.75,0.75,750
0.00175,1.75,1.75,1750
-0.00075,-0.75,0.75,750
0,0,0,0
0.0015,1.5,1.5,1500
0.00425,4.25,4.25,4250
0.0015,1.5,1.5,1500
0.001,1,1,1000
0.0025,2.5,2.5,2500
0,0,0,0
-0.00025,-0.25,0.25,250
-0.00375,-3.75,3.75,3750
-0.002,-2,2,2000
-0.00225,-2.25,2.25,2250
-0.003,-3,3,3000
-0.001,-1,1,1000
-0.00425,-4.25,4.25,4250
0.00075,0.75,0.75,750
0.0005,0.5,0.5,500
0.00075,0.75,0.75,750
-0.0015,-1.5,1.5,1500
-0.0005,-0.5,0.5,500
0.001,1,1,1000
0.0025,2.5,2.5,2500
0,0,0,0
0.00025,0.25,0.25,250
-0.0005,-0.5,0.5,500
-0.00125,-1.25,1.25,1250
-0.00125,-1.25,1.25,1250
-0.00125,-1.25,1.25,1250
-0.005,-5,5,5000
-0.00325,-3.25,3.25,3250
0.0005,0.5,0.5,500
-0.0015,-1.5,1.5,1500
-0.00075,-0.75,0.75,750
0.0025,2.5,2.5,2500
-0.00025,-0.25,0.25,250
0.00225,2.25,2.25,2250
0.004,4,4,4000
0.0025,2.5,2.5,2500
0.002,2,2,2000
0.00025,0.25,0.25,250
0.002,2,2,2000
-0.0035,-3.5,3.5,3500
0.001,1,1,1000
-0.00075,-0.75,0.75,750
-0.002,-2,2,2000
-0.0015,-1.5,1.5,1500
-0.00075,-0.75,0.75,750
-0.00075,-0.75,0.75,750
-0.0015,-1.5,1.5,1500
0.0025,2.5,2.5,2500
0.00125,1.25,1.25,1250
0.00225,2.25,2.25,2250
0.00325,3.25,3.25,3250
0.00775,7.75,7.75,7750
0.00975,9.75,9.75,9750
0.0015,1.5,1.5,1500
-0.003,-3,3,3000
-0.00025,-0.25,0.25,250
-0.0025,-2.5,2.5,2500
-0.002,-2,2,2000
-0.00275,-2.75,2.75,2750
-0.001,-1,1,1000
0.0005,0.5,0.5,500
-0.00175,-1.75,1.75,1750
-0.0025,-2.5,2.5,2500
-0.0005,-0.5,0.5,500
-0.002,-2,2,2000
0.001,1,1,1000
0.001,1,1,1000
0.0045,4.5,4.5,4500
0.00325,3.25,3.25,3250
0.00275,2.75,2.75,2750
0.0005,0.5,0.5,500
-0.0015,-1.5,1.5,1500
-0.0005,-0.5,0.5,500
0.00025,0.25,0.25,250
-0.00125,-1.25,1.25,1250
-0.00325,-3.25,3.25,3250
-0.00275,-2.75,2.75,2750
-0.0045,-4.5,4.5,4500
-0.011,-11,11,11000
-0.01025,-10.25,10.25,10250
-0.0045,-4.5,4.5,4500
0.01225,12.25,12.25,12250
0.00825,8.25,8.25,8250
0.0045,4.5,4.5,4500
0.00175,1.75,1.75,1750
0.0035,3.5,3.5,3500
0.0005,0.5,0.5,500
0.00075,0.75,0.75,750
0.004,4,4,4000
0.00125,1.25,1.25,1250
0.00325,3.25,3.25,3250
0.00125,1.25,1.25,1250
0.002,2,2,2000
-0.00625,-6.25,6.25,6250
-0.004,-4,4,4000
-0.002,-2,2,2000
0.0005,0.5,0.5,500
0.00275,2.75,2.75,2750
0.001,1,1,1000
0.0025,2.5,2.5,2500
0.00175,1.75,1.75,1750
0.00575,5.75,5.75,5750
0.00325,3.25,3.25,3250
0.0005,0.5,0.5,500
-0.002,-2,2,2000
-0.00025,-0.25,0.25,250
-0.002,-2,2,2000
-0.00075,-0.75,0.75,750
-0.00275,-2.75,2.75,2750
-0.00075,-0.75,0.75,750
0,0,0,0
-0.0015,-1.5,1.5,1500
0.0005,0.5,0.5,500
0,0,0,0
-0.0005,-0.5,0.5,500
-0.003,-3,3,3000
0.002,2,2,2000
0.0055,5.5,5.5,5500
0.0035,3.5,3.5,3500
0.0015,1.5,1.5,1500
-0.0015,-1.5,1.5,1500
-0.002,-2,2,2000
-0.00075,-0.75,0.75,750
0.0045,4.5,4.5,4500
-0.002,-2,2,2000
-0.0035,-3.5,3.5,3500
-0.0055,-5.5,5.5,5500
-0.005,-5,5,5000
0.00075,0.75,0.75,750
0.0005,0.5,0.5,500
0.0015,1.5,1.5,1500
0.001,1,1,1000
0.0025,2.5,2.5,2500
0.00425,4.25,4.25,4250
0.00225,2.25,2.25,2250
0.002,2,2,2000
0.004,4,4,4000
0.0045,4.5,4.5,4500
0.001,1,1,1000
-0.00075,-0.75,0.75,750
-0.001,-1,1,1000
-0.002,-2,2,2000
-0.00325,-3.25,3.25,3250
-0.00175,-1.75,1.75,1750
-0.00025,-0.25,0.25,250
0.00025,0.25,0.25,250
0.0015,1.5,1.5,1500
0.00325,3.25,3.25,3250
-0.0035,-3.5,3.5,3500
0.00025,0.25,0.25,250
0.003,3,3,3000
0.00425,4.25,4.25,4250
0.0045,4.5,4.5,4500
0.00125,1.25,1.25,1250
-0.00125,-1.25,1.25,1250
0,0,0,0
-0.00075,-0.75,0.75,750
-0.0015,-1.5,1.5,1500
-0.00125,-1.25,1.25,1250
-0.0035,-3.5,3.5,3500
-0.00275,-2.75,2.75,2750
-0.00025,-0.25,0.25,250
0.00075,0.75,0.75,750
-0.00075,-0.75,0.75,750
0.00025,0.25,0.25,250
0,0,0,0
0.00225,2.25,2.25,2250
0.00125,1.25,1.25,1250
0.00375,3.75,3.75,3750
0.00175,1.75,1.75,1750
0.00175,1.75,1.75,1750
