11,000E,417,17,14,1047
49,69,02AB,73,105,683
55,00AC,02A9,85,172,681
56,005A,02A7,86,90,679
47,61,02A7,71,97,679
54,67,02A7,84,103,679
58,76,02A7,88,118,679
73,00A4,02A2,115,164,674
005D,68,02A4,93,104,676
50,006A,02A6,80,106,678
006C,68,02A6,108,104,678
52,00B2,02A7,82,178,679
44,006B,02A9,68,107,681
69,62,02AB,105,98,683
007E,71,02A7,126,113,679
56,63,02AB,86,99,683
59,00C5,02AE,89,197,686
007F,67,02B1,127,103,689
48,006B,02A7,72,107,679
55,71,02AC,85,113,684
007C,83,02AD,124,131,685
50,005E,02B1,80,94,689
005B,007B,02AF,91,123,687
50,76,02AD,80,118,685
003B,65,02A9,59,101,681
51,71,02A9,81,113,681
72,69,02A8,114,105,680
51,006E,02AE,81,110,686
54,66,02AA,84,102,682
56,63,02AC,86,99,684
46,72,02A9,70,114,681
004A,155,02AB,74,341,683
004D,230,02A6,77,560,678
53,0.00E+00,02A8,83,226,680
006C,01C2,02A8,108,450,680
52,020D,02AF,82,525,687
005C,01A2,02AD,92,418,685
60,01F4,02A9,96,500,681
50,141,02AA,80,321,682
55,029F,02B1,85,671,689
005C,01B1,02AE,92,433,686
006A,01FF,02A8,106,511,680
007A,01B6,02B1,122,438,689
51,01C4,02AC,81,452,684
68,01FF,02AB,104,511,683
65,183,02AE,101,387,686
63,230,02AD,99,560,685
83,01C0,02A7,131,448,679
009E,224,02A8,158,548,680
52,00FF,02AC,82,255,684
006E,021C,02AA,110,540,682
004D,1.00E+09,02AD,77,489,685
67,014E,02AF,103,334,687
64,01C3,02AD,100,451,685
62,149,02A0,98,329,672
005E,01A6,02A7,94,422,679
008E,01CD,02A0,142,461,672
006B,01DB,02A4,107,475,676
66,00BC,02A8,102,188,680
74,021B,02A9,116,539,681
72,191,02A7,114,401,679
70,144,02AA,112,324,682
74,012B,02A8,116,299,680
008D,1.00E+03,02A1,141,483,673
006A,016D,02AA,106,365,682
65,168,02AE,101,360,686
006D,166,02A4,109,358,676
006D,00F1,02AC,109,241,684
00A2,186,02A5,162,390,677
59,112,02A6,89,274,678
74,178,02A9,116,376,681
77,195,02A3,119,405,675
005C,007B,02A9,92,123,681
66,220,02B5,102,544,693
53,010E,02AB,83,270,683
50,018F,02AA,80,399,682
56,134,02AA,86,308,682
66,154,02A6,102,340,678
005E,174,02A2,94,372,674
006D,101,02A6,109,257,678
41,147,02A5,65,327,677
005F,97,02A8,95,151,680
007C,116,02A7,124,278,679
58,00D5,02AC,88,213,684
69,00F0,02A7,105,240,679
68,00BA,02A8,104,186,680
44,65,02A5,68,101,677
006C,00BD,02A9,108,189,681
56,00D3,02A8,86,211,680
48,59,02AB,72,89,683
005B,006E,02B2,91,110,690
74,005A,02A9,116,90,681
43,53,02AA,67,83,682
56,64,02AC,86,100,684
61,005C,02AC,97,92,684
004C,006C,02AC,76,108,684
004C,70,02AD,76,112,685
004A,67,02A8,74,103,680
30,67,02AC,48,103,684
50,59,02A6,80,89,678
47,005E,02A0,71,94,672
005E,87,02A4,94,135,676
45,85,02AA,69,133,682
004A,01AF,02A6,74,431,678
58,1.00E+09,029E,88,489,670
008C,019B,02A5,140,411,677
87,1.00E+04,02A5,135,484,677
75,177,02A3,117,375,675
57,01D8,02A0,87,472,672
54,01EB,02A3,84,491,675
84,148,02A6,132,328,678
89,245,02A2,137,581,674
65,021B,02A9,101,539,681
68,01C6,02A8,104,454,680
88,017B,02A5,136,379,677
62,00FC,02A8,98,252,680
68,029E,02B1,104,670,689
007F,188,02A6,127,392,678
60,01CD,02AD,96,461,685
65,01A5,02AD,101,421,685
66,01A3,02A7,102,419,679
63,02C0,02AA,99,704,682
60,00F9,02A9,96,249,681
72,204,02A5,114,516,677
008B,172,02A2,139,370,674
69,02A5,02A6,105,677,678
68,00F3,02A9,104,243,681
67,01DC,02A4,103,476,676
53,268,02A6,83,616,678
005B,155,02A2,91,341,674
79,249,02A3,121,585,675
004B,01A2,02A3,75,418,675
62,023F,02A4,98,575,676
005A,250,02A6,90,592,678
49,012D,02AA,73,301,682
69,025A,02AA,105,602,682
70,171,02AB,112,369,683
59,01D6,02A8,89,470,680
55,235,02A3,85,565,675
50,01A3,02A7,80,419,679
53,01C2,02AB,83,450,683
008B,155,02AC,139,341,684
005B,01D7,02B0,91,471,688
69,160,02AA,105,352,682
59,01EC,02AA,89,492,682
57,186,02A6,87,390,678
62,016D,02A3,98,365,675
71,181,02A2,113,385,674
005F,01B6,02A6,95,438,678
59,01B0,02AD,89,432,685
90,016E,02A6,144,366,678
54,01B6,02A0,84,438,672
005D,00B5,02A4,93,181,676
79,01DD,029D,121,477,669
005A,014A,029D,90,330,669
78,124,02A3,120,292,675
56,018F,02A3,86,399,675
66,00A6,02A2,102,166,674
006A,01AD,02AB,106,429,683
005D,008F,02AD,93,143,685
041D,98,02A1,1053,152,673
80,006E,02A2,128,110,674
46,005E,02AD,70,94,685
003E,006C,02A7,62,108,679
56,65,02B0,86,101,688
003B,60,02AA,59,96,682
004D,61,02A5,77,97,677
006B,005F,299,107,95,665
004A,59,02A2,74,89,674
59,66,02A0,89,102,672
51,005A,02A8,81,90,680
004A,005D,02AB,74,93,683
54,67,02A6,84,103,678
004B,69,02A9,75,105,681
003D,009F,02A5,61,159,677
004F,65,02A2,79,101,674
58,68,02A2,88,104,674
004B,63,02A4,75,99,676
004B,67,02A1,75,103,673
45,67,02AC,69,103,684
005C,65,02A9,92,101,681
60,006C,02A5,96,108,677
53,60,02A7,83,96,679
43,006D,029E,67,109,670
005E,77,02A3,94,119,675
003F,67,02A5,63,103,677
53,006A,02A7,83,106,679
51,61,02AD,81,97,685
44,00B8,02AE,68,184,686
004C,007C,02A4,76,124,676
58,62,02A2,88,98,674
45,00A3,02A0,69,163,672
58,76,02A8,88,118,680
52,68,02A9,82,104,681
45,69,02A8,69,105,680
63,72,02A8,99,114,680
004D,90,02A4,77,144,676
54,006F,02A7,84,111,679
59,005F,029F,89,95,671
40,006D,02A4,64,109,676
52,61,02A2,82,97,674
005A,006A,02A2,90,106,674
39,51,02A5,57,81,677
57,64,02A1,87,100,673
004E,66,02A4,78,102,676
41,005E,029E,65,94,670
006E,68,029F,110,104,671
53,006D,029F,83,109,671
44,66,02AC,68,102,684
005A,006B,02AA,90,107,682
005C,65,02AA,92,101,682
42,73,02A6,66,115,678
005A,005F,02A8,90,95,680
004E,005C,02A0,78,92,672
64,66,02A4,100,102,676
005F,68,02A5,95,104,677
00CA,85,02A8,202,133,680
63,67,02A5,99,103,677
566,00D7,02B0,1382,215,688
021A,99,02AB,538,153,683
02F6,00F3,02A6,758,243,678
515,010C,02A8,1301,268,680
021D,80,02A7,541,128,679
402,122,02A0,1026,290,672
448,009A,02A9,1096,154,681
4.00E+06,00C5,02A6,1254,197,678
01F5,016C,029D,501,364,669
556,00C9,02A4,1366,201,676
022C,77,02A3,556,119,675
02B9,117,029E,697,279,670
302,0.00E+00,02A5,770,225,677
290,83,02AD,656,131,685
349,156,02A7,841,342,679
359,009B,02AD,857,155,685
024B,124,02A8,587,292,680
467,00B3,02A5,1127,179,677
02D0,014E,02A4,720,334,676
020C,00CA,02AD,524,202,685
366,00F0,02AB,870,240,683
211,103,02A7,529,259,679
02CA,00B8,02A8,714,184,680
369,0.00E+00,02A7,873,228,679
470,00D9,02AA,1136,217,682
01D5,00F3,02A5,469,243,677
035E,00FA,029F,862,250,671
01AD,00EE,029F,429,238,671
025C,00AE,02A9,604,174,681
014B,00A6,02AB,331,166,683
200,148,02AA,512,328,682
