40,-13,-9,24,3,,-3.25,-2.25,6,0.75,,-0.00325,-0.00225,0.006,0.00075,,-0.0325,-0.0225,0.06,0.0075
41,-2,4,24,-2,,-0.5,1,6,-0.5,,-0.0005,0.001,0.006,-0.0005,,-0.005,0.01,0.06,-0.005
42,-5,-8,17,2,,-1.25,-2,4.25,0.5,,-0.00125,-0.002,0.00425,0.0005,,-0.0125,-0.02,0.0425,0.005
43,2,-5,4,10,,0.5,-1.25,1,2.5,,0.0005,-0.00125,0.001,0.0025,,0.005,-0.0125,0.01,0.025
44,4,3,-3,5,,1,0.75,-0.75,1.25,,0.001,0.00075,-0.00075,0.00125,,0.01,0.0075,-0.0075,0.0125
45,-2,6,-13,-2,,-0.5,1.5,-3.25,-0.5,,-0.0005,0.0015,-0.00325,-0.0005,,-0.005,0.015,-0.0325,-0.005
46,1,10,-2,1,,0.25,2.5,-0.5,0.25,,0.00025,0.0025,-0.0005,0.00025,,0.0025,0.025,-0.005,0.0025
47,2,3,-21,7,,0.5,0.75,-5.25,1.75,,0.0005,0.00075,-0.00525,0.00175,,0.005,0.0075,-0.0525,0.0175
48,7,3,-28,8,,1.75,0.75,-7,2,,0.00175,0.00075,-0.007,0.002,,0.0175,0.0075,-0.07,0.02
49,3,13,-25,-1,,0.75,3.25,-6.25,-0.25,,0.00075,0.00325,-0.00625,-0.00025,,0.0075,0.0325,-0.0625,-0.0025
50,9,4,-12,8,,2.25,1,-3,2,,0.00225,0.001,-0.003,0.002,,0.0225,0.01,-0.03,0.02
51,2,-2,-11,3,,0.5,-0.5,-2.75,0.75,,0.0005,-0.0005,-0.00275,0.00075,,0.005,-0.005,-0.0275,0.0075
52,-5,-1,9,6,,-1.25,-0.25,2.25,1.5,,-0.00125,-0.00025,0.00225,0.0015,,-0.0125,-0.0025,0.0225,0.015
53,-5,7,10,-4,,-1.25,1.75,2.5,-1,,-0.00125,0.00175,0.0025,-0.001,,-0.0125,0.0175,0.025,-0.01
54,-5,-11,18,2,,-1.25,-2.75,4.5,0.5,,-0.00125,-0.00275,0.0045,0.0005,,-0.0125,-0.0275,0.045,0.005
55,-15,-9,16,4,,-3.75,-2.25,4,1,,-0.00375,-0.00225,0.004,0.001,,-0.0375,-0.0225,0.04,0.01
56,-10,3,25,-3,,-2.5,0.75,6.25,-0.75,,-0.0025,0.00075,0.00625,-0.00075,,-0.025,0.0075,0.0625,-0.0075
57,-8,-6,12,0,,-2,-1.5,3,0,,-0.002,-0.0015,0.003,0,,-0.02,-0.015,0.03,0
58,-7,-1,9,-9,,-1.75,-0.25,2.25,-2.25,,-0.00175,-0.00025,0.00225,-0.00225,,-0.0175,-0.0025,0.0225,-0.0225
59,0,-7,5,1,,0,-1.75,1.25,0.25,,0,-0.00175,0.00125,0.00025,,0,-0.0175,0.0125,0.0025
60,1,-6,-3,1,,0.25,-1.5,-0.75,0.25,,0.00025,-0.0015,-0.00075,0.00025,,0.0025,-0.015,-0.0075,0.0025
61,4,-2,2,-2,,1,-0.5,0.5,-0.5,,0.001,-0.0005,0.0005,-0.0005,,0.01,-0.005,0.005,-0.005
62,6,3,-4,-7,,1.5,0.75,-1,-1.75,,0.0015,0.00075,-0.001,-0.00175,,0.015,0.0075,-0.01,-0.0175
63,4,3,-8,-2,,1,0.75,-2,-0.5,,0.001,0.00075,-0.002,-0.0005,,0.01,0.0075,-0.02,-0.005
64,3,-1,-14,2,,0.75,-0.25,-3.5,0.5,,0.00075,-0.00025,-0.0035,0.0005,,0.0075,-0.0025,-0.035,0.005
65,10,7,-30,10,,2.5,1.75,-7.5,2.5,,0.0025,0.00175,-0.0075,0.0025,,0.025,0.0175,-0.075,0.025
66,-2,0,-17,9,,-0.5,0,-4.25,2.25,,-0.0005,0,-0.00425,0.00225,,-0.005,0,-0.0425,0.0225
67,9,1,-7,7,,2.25,0.25,-1.75,1.75,,0.00225,0.00025,-0.00175,0.00175,,0.0225,0.0025,-0.0175,0.0175
68,-2,2,5,-2,,-0.5,0.5,1.25,-0.5,,-0.0005,0.0005,0.00125,-0.0005,,-0.005,0.005,0.0125,-0.005
69,-10,1,7,0,,-2.5,0.25,1.75,0,,-0.0025,0.00025,0.00175,0,,-0.025,0.0025,0.0175,0
70,7,-10,5,-4,,1.75,-2.5,1.25,-1,,0.00175,-0.0025,0.00125,-0.001,,0.0175,-0.025,0.0125,-0.01
71,2,-2,8,1,,0.5,-0.5,2,0.25,,0.0005,-0.0005,0.002,0.00025,,0.005,-0.005,0.02,0.0025
72,-11,-2,28,8,,-2.75,-0.5,7,2,,-0.00275,-0.0005,0.007,0.002,,-0.0275,-0.005,0.07,0.02
73,-7,0,19,-6,,-1.75,0,4.75,-1.5,,-0.00175,0,0.00475,-0.0015,,-0.0175,0,0.0475,-0.015
74,-7,-5,18,-6,,-1.75,-1.25,4.5,-1.5,,-0.00175,-0.00125,0.0045,-0.0015,,-0.0175,-0.0125,0.045,-0.015
75,-2,1,9,-1,,-0.5,0.25,2.25,-0.25,,-0.0005,0.00025,0.00225,-0.00025,,-0.005,0.0025,0.0225,-0.0025
76,-2,-6,5,5,,-0.5,-1.5,1.25,1.25,,-0.0005,-0.0015,0.00125,0.00125,,-0.005,-0.015,0.0125,0.0125
77,-1,-2,2,2,,-0.25,-0.5,0.5,0.5,,-0.00025,-0.0005,0.0005,0.0005,,-0.0025,-0.005,0.005,0.005
78,11,-1,-16,4,,2.75,-0.25,-4,1,,0.00275,-0.00025,-0.004,0.001,,0.0275,-0.0025,-0.04,0.01
79,11,5,-5,5,,2.75,1.25,-1.25,1.25,,0.00275,0.00125,-0.00125,0.00125,,0.0275,0.0125,-0.0125,0.0125
80,11,10,-21,9,,2.75,2.5,-5.25,2.25,,0.00275,0.0025,-0.00525,0.00225,,0.0275,0.025,-0.0525,0.0225
81,7,6,-23,6,,1.75,1.5,-5.75,1.5,,0.00175,0.0015,-0.00575,0.0015,,0.0175,0.015,-0.0575,0.015
82,0,15,-16,4,,0,3.75,-4,1,,0,0.00375,-0.004,0.001,,0,0.0375,-0.04,0.01
83,3,4,-9,-9,,0.75,1,-2.25,-2.25,,0.00075,0.001,-0.00225,-0.00225,,0.0075,0.01,-0.0225,-0.0225
84,2,5,-5,8,,0.5,1.25,-1.25,2,,0.0005,0.00125,-0.00125,0.002,,0.005,0.0125,-0.0125,0.02
85,-8,5,-17,-5,,-2,1.25,-4.25,-1.25,,-0.002,0.00125,-0.00425,-0.00125,,-0.02,0.0125,-0.0425,-0.0125
86,-10,8,2,-2,,-2.5,2,0.5,-0.5,,-0.0025,0.002,0.0005,-0.0005,,-0.025,0.02,0.005,-0.005
87,-14,-4,-7,-10,,-3.5,-1,-1.75,-2.5,,-0.0035,-0.001,-0.00175,-0.0025,,-0.035,-0.01,-0.0175,-0.025
88,-10,-7,0,-6,,-2.5,-1.75,0,-1.5,,-0.0025,-0.00175,0,-0.0015,,-0.025,-0.0175,0,-0.015
89,-1,-1,20,-6,,-0.25,-0.25,5,-1.5,,-0.00025,-0.00025,0.005,-0.0015,,-0.0025,-0.0025,0.05,-0.015
90,-13,1,28,-14,,-3.25,0.25,7,-3.5,,-0.00325,0.00025,0.007,-0.0035,,-0.0325,0.0025,0.07,-0.035
91,-13,-3,17,-2,,-3.25,-0.75,4.25,-0.5,,-0.00325,-0.00075,0.00425,-0.0005,,-0.0325,-0.0075,0.0425,-0.005
92,-2,0,12,4,,-0.5,0,3,1,,-0.0005,0,0.003,0.001,,-0.005,0,0.03,0.01
93,-6,1,0,-9,,-1.5,0.25,0,-2.25,,-0.0015,0.00025,0,-0.00225,,-0.015,0.0025,0,-0.0225
94,4,0,-3,-6,,1,0,-0.75,-1.5,,0.001,0,-0.00075,-0.0015,,0.01,0,-0.0075,-0.015
95,11,-1,-7,3,,2.75,-0.25,-1.75,0.75,,0.00275,-0.00025,-0.00175,0.00075,,0.0275,-0.0025,-0.0175,0.0075
96,11,0,-3,8,,2.75,0,-0.75,2,,0.00275,0,-0.00075,0.002,,0.0275,0,-0.0075,0.02
97,9,9,-16,8,,2.25,2.25,-4,2,,0.00225,0.00225,-0.004,0.002,,0.0225,0.0225,-0.04,0.02
98,14,-4,-15,-1,,3.5,-1,-3.75,-0.25,,0.0035,-0.001,-0.00375,-0.00025,,0.035,-0.01,-0.0375,-0.0025
99,6,12,-17,1,,1.5,3,-4.25,0.25,,0.0015,0.003,-0.00425,0.00025,,0.015,0.03,-0.0425,0.0025
100,3,-6,-13,-6,,0.75,-1.5,-3.25,-1.5,,0.00075,-0.0015,-0.00325,-0.0015,,0.0075,-0.015,-0.0325,-0.015
101,3,-6,5,0,,0.75,-1.5,1.25,0,,0.00075,-0.0015,0.00125,0,,0.0075,-0.015,0.0125,0
102,-2,-1,4,16,,-0.5,-0.25,1,4,,-0.0005,-0.00025,0.001,0.004,,-0.005,-0.0025,0.01,0.04
103,-8,-9,10,-2,,-2,-2.25,2.5,-0.5,,-0.002,-0.00225,0.0025,-0.0005,,-0.02,-0.0225,0.025,-0.005
104,-2,-1,13,-4,,-0.5,-0.25,3.25,-1,,-0.0005,-0.00025,0.00325,-0.001,,-0.005,-0.0025,0.0325,-0.01
105,-15,1,6,-7,,-3.75,0.25,1.5,-1.75,,-0.00375,0.00025,0.0015,-0.00175,,-0.0375,0.0025,0.015,-0.0175
106,-4,2,12,-7,,-1,0.5,3,-1.75,,-0.001,0.0005,0.003,-0.00175,,-0.01,0.005,0.03,-0.0175
107,-1,6,35,-10,,-0.25,1.5,8.75,-2.5,,-0.00025,0.0015,0.00875,-0.0025,,-0.0025,0.015,0.0875,-0.025
108,-4,-1,23,2,,-1,-0.25,5.75,0.5,,-0.001,-0.00025,0.00575,0.0005,,-0.01,-0.0025,0.0575,0.005
109,2,3,23,-5,,0.5,0.75,5.75,-1.25,,0.0005,0.00075,0.00575,-0.00125,,0.005,0.0075,0.0575,-0.0125
